Callsign	Location	Phone	CW	Digital	Total Score
		QSO's	QSO's	QSO's	
K3GWK	GA	3	0	0	170
N9EIT	IN	3	0	0	140
WB4HRL	SC	0	2	0	130
WB0SND	MO	0	2	0	130
WA3AFS	NY	0	2	0	130
WA3AAN	PA	0	2	0	130
W6RKC	CA	0	2	0	130
W6ECK	CA	2	0	0	130
W4TG	VA	0	2	0	130
NM5M	TX	0	2	0	130
N9PCS	IL	2	0	0	130
N9DEK	IN	2	0	0	130
N5UM	OK	0	2	0	130
N5GG	TX	0	2	0	130
N2PTF	NY	2	0	0	130
N1AU	MA	0	2	0	130
KW5RF	AR	2	0	0	130
KM4IAJ	VA	2	0	0	130
KC9BKS	FL	2	0	0	130
K5MAY	TX	2	0	0	130
K3TN	MD	0	2	0	130
AJ4LN	VA	2	0	0	130
AI4WW	FL	0	2	0	130
WA1ZYX	NH	3	0	0	110
K0SV	MN	1	1	0	110
AB9BZ	IL	0	1	0	110
WO9B	WI	0	1	0	90
NX4N	FL	0	1	0	90
NF8M	MI	0	1	0	90
N4HAI	VA	0	2	0	90
N2OIG	NY	0	1	0	90
KX1W	NJ	0	1	0	90
K4AMA	SC	0	1	0	90
K3SV	FL	0	1	0	90
AA0FO	KS	1	1	0	80
WW4B	FL	0	1	0	70
W8KNX	MI	1	0	0	70
W6EU	SV	0	1	0	70
W4QYV	SC	1	0	0	70
W0PMO	MN	1	0	0	70
N7AME	WA	1	0	0	70
N5PBP	TX	1	0	0	70
N5JDT	NM	1	0	0	70
N5EP	IL	0	1	0	70
N4ZQA	VA	1	0	0	70
N2BTB	CT	1	0	0	70
KK4BZ	VA	1	0	0	70
KD9ZUN	IL	1	0	0	70
KC4OBY	GA	1	0	0	70
K5JZZ	OK	1	0	0	70
K0TRL	KS	1	0	0	70
WA2GOT	NY	1	0	0	60
N7HYV	NV	1	0	0	60
